基金代码,一年回报率_202108_202208
MMDUDX,4.372099917778673
MMDFUD,3.3262339616854684
MUXSUZ,-10.572096990956432
UDMDPI,1.987924562703696
MUMSMP,0.5099395929380731
FUSIDM,-22.648564658785546
MMIIPF,2.2078137008462404
MMXDXZ,-14.337630573651255
MMZDFZ,-19.81175683967805
MFMMUD,-0.38201783227106567
MUMFMP,-3.558589294471404
MUUFIP,3.5505832394710057
MMUZSP,-12.373636628312084
MMZXMP,8.796794737915734
MMUSUD,-14.592761651169843
MMXADF,2.18681086843546
UDUDUP,6.722336118459755
FUZUSI,-25.13253154540986
MUXUSM,-4.870487799985028
MMMMAU,-1.3211581559468346
MUUMXX,-20.349755727193145
MMMAAM,5.199196727993409
DXMMMI,-1.5450919501050298
MMUUDX,-12.087923949693593
MMZUUF,-16.348739137877278
MMZAXX,3.3984459801787175
FMDMMU,-14.362657239934812
MMAZIF,-2.0785022675616096
MMMPDX,-5.463845000251875
MUMSPI,1.6861280261083327
MMMPMD,-1.353484581094964
MMFZMP,-12.71896747766822
MUMUUP,2.9906336487170453
MUMXUZ,-1.778085441386485
MMUSSM,2.897216993997916
PFMMMZ,-3.431525040597403
MMMZFP,-1.3035240035715616
MMUZSF,-18.268580332398717
FIMMMF,14.74473435825354
MMDXAP,1.3606230966030277
MUUZZZ,2.8362903818364535
MMAASD,3.550298334816521
ISAMUM,-12.481615202467554
MUUSUP,0.2897435970275116
FIMMMA,6.615216517776458
PUMMUM,-13.131386833299347
MMZMXZ,-17.396543199291703
MUXXSA,-2.35716397299361
FUFIDM,-9.400916618477218
MMUUPA,7.3808620004301355
MUMSAM,-11.904661430181934
MMFIXS,5.207967989068614
MUUPFS,-3.6645206248808035
MUUUIF,-13.195927264798314
MUUMIM,-26.50007504187483
MUMSMX,-15.322737230421307
MUXPUX,-20.12182222318539
MMUDSX,1.2276182748162214
MUUDPS,-13.020304562229665
MMPDUS,0.20585928013149202
MMZPFM,3.838451124798629
MMIZFX,5.8851042280374255
MUMUIX,-19.883715806786412
MMIXAI,-0.06124483817386564
MMAIXD,-12.684137132075046
MMFXAM,-0.5902420549445773
MUMDUA,-1.6980612150691847
MMAUSP,-15.97831607828759
MMXZSA,-21.789579739860976
MMZXAA,2.9711665229277258
FUSMAM,-13.274511180425431
MUMDFP,-22.327472276547255
MMIAIZ,2.70390452544286
MMFMSD,-9.941017287928311
MMFDMM,-14.605972692893062
MUUIPM,-10.543640289371409
MMMAPZ,-18.247438112504224
UDUUUA,-11.039455200067879
MMMIZF,2.610493322103934
MMPUMF,2.6297703232643563
PFMMUU,-8.406343450546672
UDXUMF,5.856281386587401
MMXUFZ,-9.202087478321857
ZSMMFZ,2.6409923865736284
MMUFDS,2.9400976450139127
MMAZSF,-3.70770789835026
MMPXIU,-20.526054079278754
MUIUAI,-17.92964637184302
MMZAFD,-24.899261096102013
FUZSAX,5.572898178416938
UFZAXP,2.336789618392184
XMMMUF,22.039353827244028
MMIPMU,0.7555742997931685
MMFASU,7.194538798580977
MMZZSA,0.42624509975069125
MUMMDA,2.8353634048797716
MMMAZD,2.1136880577768404
MMZIID,-6.1918123457439505
MMPMPX,5.929554293323767
UDDMUM,-1.1389803282120494
MMZSPA,6.190849511321245
MMUUAU,-2.6842557291289784
XUSMUD,-11.658422540473023
FUZUIP,-4.4919666439179995
FUXZUM,-8.539470310907388
MMFDXM,-18.613635265450522
MMSPZU,-24.691089305257048
MUUSIZ,-2.671070840744213
MMMPUZ,1.4638060149052428
FUZDAF,0.11099140491956772
MMPDIF,-7.351048107254749
MMZSUD,0.5544109784394428
IAMMUU,2.749174644366228
MMMZZU,10.6005588778703
MUMDDA,-3.067932451761603
MMPXUU,-19.29879272591445
MUMFZS,2.9616366763135655
MUUXIZ,-21.373007473760733
MUMMPZ,6.0195697037785605
MMAAFU,-1.767055666085498
MUXZIP,3.287560867674167
MMDXXI,-9.637606794398696
MMXZII,0.5056207847041151
MMMUSP,3.3299764445872593
MPMMUM,4.746327190321101
ZDMMMM,-14.600734803039325
MXMMUA,-12.314768146711632
MMDFMX,-23.513916376733803
MMMXID,-3.7535194559134872
XMXUMU,0.5392904710516446
