基金代码,交易日,最新单位净值(元),本月以来回报率(%),三个月回报率(%),今年以来回报率(%)
MMFIDA,2021-04,1.7305596376802284,8.502243562923933,-4.928163843604681,-5.114796848968631
MMFIDA,2021-05,1.7775297409751383,3.012165883576412,5.830695718926455,-2.9131478966265836
MMFIDA,2021-05,1.7724810240015971,2.9321007842877087,6.34671430388392,-0.25145227244665513
MMFIDA,2021-05,1.9383723796861967,5.236430899834337,5.820875031660949,-2.1542194765889078
MMFIDA,2021-05,1.7906879861888718,8.827276028539735,11.574754990435798,6.758115792440635
MMFIDA,2021-06,1.760741955362267,6.2678385144983775,25.93925137335093,14.68765783679029
MMFIDA,2021-06,1.9486536721677148,8.705242330165788,29.298455870285455,13.63309859745849
MMFIDA,2021-06,2.165180630886171,11.129060032450486,32.093708564286274,15.471036116854274
MMFIDA,2021-07,2.5950224227754597,16.941380838970193,50.91264388177229,38.2430195532763
MMFIDA,2021-07,2.3534450639069355,10.682088951494489,38.65515467348298,30.82284128346283
MMFIDA,2021-07,1.9149102993078633,10.1096482169657,37.233541972205536,32.21814683749669
MMFIDA,2021-07,2.4834944218015216,16.088143895626096,45.168425301248575,36.645384099079024
MMFIDA,2021-07,2.4188088810335096,16.23278846427697,45.101829510050514,40.58826403074123
MMFISZ,2020-08,1.8300201482711844,2.2089219447408723,34.06874107835358,54.74824146589177
MMFISZ,2020-08,2.051682161416782,3.633120326021048,38.10354135214352,51.408680632577955
MMFISZ,2020-08,2.0644210942051027,6.018838896088519,41.37314844405844,54.47761049163178
MMFISZ,2020-08,2.35000638203098,4.881192385363678,34.99339054046173,52.106798598854596
MMFISZ,2020-09,1.9770814829075036,-5.899568225662813,16.13567146337083,46.194863079283486
MMFISZ,2020-09,2.1943127468709585,-5.302437734955739,16.08439076925018,46.964741518421675
MMFISZ,2020-09,1.9607862603497785,-6.193379768586412,14.642527936092378,40.50373957420494
MMFISZ,2020-10,1.7471981469991211,-1.6392964559246048,2.6578786099492686,44.02009870503327
MMFISZ,2020-10,2.091849159437167,-0.5021000123933557,4.487236879418933,44.740957860089416
MMFISZ,2020-10,2.096818944990847,1.8019973150519395,4.539231597131964,47.41606181253607
MMFISZ,2020-10,2.0246357343087342,3.5057467092570147,3.6909597707679485,46.84214438160248
MMFISZ,2020-10,1.964534710401075,1.9808657637865417,2.235517982255618,47.58084155258165
MMFISZ,2020-11,1.9570533176656288,-1.3483781157105803,-2.897256868508415,49.320731735059326
MMFISZ,2020-11,2.035245760631169,-0.5255040815085923,-3.083780568932746,49.210752265924825
MMFISZ,2020-11,1.7610163104177765,-0.923880604002824,-6.218135963460098,44.39319538617173
MMFISZ,2020-12,2.138190074922218,8.873426377111668,10.40112754830233,58.195934151371375
MMFISZ,2020-12,2.247443752409945,9.297766327783028,12.009562000570225,58.561478448958
MMFISZ,2020-12,2.1084626206998873,11.909201219592052,11.538654378926996,65.75969081476465
MMFISZ,2020-12,2.1909327686226145,14.375657700149196,13.892987045803736,67.74053381786624
MMFISZ,2021-01,2.5763473597484174,10.380551164612577,26.224264847525564,6.311686449814738
MMFISZ,2021-01,2.3943915073674935,7.807977372217534,24.536519775955195,7.31330313884412
MMFISZ,2021-01,2.435015651118738,6.328694392460327,18.766651077277164,6.744983914294613
MMFISZ,2021-01,2.0752287024231353,6.464791216210072,16.47795114019758,8.976423894393866
MMFISZ,2021-02,2.4022284891883037,-6.887711577055994,12.469778405470668,-2.913021963580123
MMFISZ,2021-03,2.3552008406501526,-1.0326904588720518,5.144820030527924,-2.5862452718713316
MMFISZ,2021-03,2.462908749689793,0.6329861842756577,6.381973492978442,4.6584831136941816
MMFISZ,2021-03,2.2900810853647284,1.6350248077621592,4.460840550797809,0.8742918689698578
MMFISZ,2021-03,2.4401942367131153,0.31658744806896943,1.724219047942682,-2.876448199967066
MMFISZ,2021-04,2.2856079698015668,5.189656835169256,-3.856891408659962,8.949615600515047
MMFISZ,2021-04,2.4985738382658385,5.33521667208504,-0.010541547967686027,11.216586308562395
MMFISZ,2021-04,2.1329195571564203,6.096223052707163,1.080500789062846,8.04004579238479
MMFISZ,2021-04,2.3452689342032196,8.100751443510926,-0.44601539202915585,8.13548779039277
MMFISZ,2021-04,2.1886039685353476,5.741817832736714,1.1738993785506484,10.944119611210722
MMFISZ,2021-05,2.6264958477658467,3.69608618611713,12.854560829302098,10.872079020740909
MMFISZ,2021-05,2.259204853797118,4.57890766153462,11.430952218761096,12.650661203723512
MMFISZ,2021-05,2.3665512882590383,5.280771565947536,13.636290076327677,7.815532083468432
MMFISZ,2021-05,2.833424326188193,5.651244950929416,13.04712776901778,14.374630204137636
MMFISZ,2021-06,2.318369918888978,1.3869774090864069,12.306943619381073,19.957279049860976
MMFISZ,2021-06,2.626955210304427,1.0684046822136397,13.356448931806984,18.385232895612038
MMFISZ,2021-06,2.3152923779485057,2.622446418584041,15.36255402032348,12.669931327360915
MMFISZ,2021-07,1.9960033608304533,-11.459309089795964,-4.539457946868358,5.979559056797452
MMFISZ,2021-07,2.3233649622614925,-16.920638512151328,-10.100791768299466,0.7497185227943097
MMFISZ,2021-07,2.3962119863319615,-13.663554682835985,-6.341970156965396,3.6919154650610144
MMFISZ,2021-07,2.0116230568089053,-11.41277937772612,-6.750538427834722,0.3116315088434183
MMFISZ,2021-07,1.7624470054109855,-15.191592222741725,-11.816419709531733,-3.611509223680175
MMFIZF,2020-08,1.841456503840936,2.616573481956922,30.50483308131058,43.55791281359025
MMFIZF,2020-08,1.7938544530319667,4.5278375633398795,37.01652734092918,41.66602320096483
MMFIZF,2020-08,1.8584678152006822,4.425640153058699,37.500084414678234,43.891380220687324
MMFIZF,2020-08,1.9724807591094786,4.846921763960671,37.00824023151616,48.78958165215231
MMFIZF,2020-09,1.4077702623094148,-1.1849125209627693,21.313100090608806,42.84905101834765
MMFIZF,2020-09,1.870415892515864,0.4776644682264429,22.020673262880123,52.291376016431734
MMFIZF,2020-09,1.4475836283900514,2.2268545140644873,19.439036337262166,45.949863143566375
MMFIZF,2020-10,1.5663000838599863,-1.0314093124595831,9.864782674966978,45.34115632211137
MMFIZF,2020-10,1.90731269420514,0.5773848474455194,8.80719067684743,52.43182249578522
MMFIZF,2020-10,1.6296330478019163,-0.8042302782256385,10.085104320016534,47.68578969192237
MMFIZF,2020-10,1.8300159025570315,0.7720945579924108,7.579007563558465,53.43076865665265
MMFIZF,2020-10,1.9661184559843576,-1.508010052549698,5.248677781142742,49.74393531899915
MMFIZF,2020-11,1.7956555474096292,1.4507039074381047,2.555098734598734,47.773068788477275
MMFIZF,2020-11,1.8946658685028641,1.0290352200669646,5.747911155109522,52.92869853771736
MMFIZF,2020-11,1.7976087493894681,2.2589170635814937,3.5494451534673797,47.92576501179749
MMFIZF,2020-12,1.7329389898821954,12.38595964733675,12.857450302971586,64.16460429469664
MMFIZF,2020-12,1.8385193850270911,9.86307367521243,10.336397347698192,67.58398870221559
MMFIZF,2020-12,1.8965256794350052,12.33734185471002,13.886495407349578,74.3529798370288
MMFIZF,2020-12,1.9853658313392524,15.988096236025546,14.581928044533964,66.91215754148331
MMFIZF,2021-01,2.1168004743626634,7.18556603659964,23.058874206490906,6.237884513589673
MMFIZF,2021-01,2.3480506143914877,8.239986746124204,26.714983492410784,13.973374320345657
MMFIZF,2021-01,1.9218904727988952,4.4278992680604095,19.212978356864078,5.995204616620764
MMFIZF,2021-01,1.976076978640131,4.888957049885496,19.5594024464646,-0.8606303179827428
MMFIZF,2021-02,2.0281391069420844,-5.888739585809069,11.687833110152797,-2.058851100824832
MMFIZF,2021-03,1.8375823063767478,-8.543405379576098,-6.987088337366074,-8.664568589269837
MMFIZF,2021-03,1.905484636975489,-9.609761269736525,-7.608308921130643,-10.400050241575597
MMFIZF,2021-03,2.008968003176065,-6.024236605060204,-7.777787362929917,-6.584438647339098
MMFIZF,2021-03,1.9046934845103836,-6.67238224074459,-11.411537486128136,-7.582874938158919
MMFIZF,2021-04,2.074208491314972,2.448699771913116,-10.488975053245872,-6.924842462348473
MMFIZF,2021-04,1.962249906282147,3.6274333446176996,-9.949628491263399,-8.27379521883859
MMFIZF,2021-04,1.7621904540360667,4.348322399957445,-9.08203719126885,-3.94844611101426
MMFIZF,2021-04,2.04316094352432,3.2946869040870554,-9.126234105829278,-2.4133927035270917
MMFIZF,2021-04,2.020086062077479,3.7535091692347793,-7.693119269866861,-0.9655080828136704
MMFIZF,2021-05,2.0035099317718643,-0.14545302608266858,-3.461743463371949,-5.666011892302177
MMFIZF,2021-05,1.9093571067394883,-1.0145134906694064,-2.5229121805565917,-4.289780521073795
MMFIZF,2021-05,1.8394501523657092,-1.369485802120045,-1.0624073271272496,-4.229946657611675
MMFIZF,2021-05,1.9979403403922689,-0.2714433704949114,-2.436861671836825,-8.06386674815879
MMFIZF,2021-06,1.803603201685167,2.441680661084474,7.187121792281464,0.9754370913114303
MMFIZF,2021-06,1.6519580189980907,1.5361880651087958,7.758363370039258,-3.715470013265474
MMFIZF,2021-06,2.0941100582485492,3.57863031543146,6.001336373386555,-1.759114955003441
MMFIZF,2021-07,2.025683633570807,-8.027916968004321,-4.569277606554799,-9.839308791998416
MMFIZF,2021-07,1.4175023943044711,-11.026496359970482,-6.6162646734613375,-11.754450052065165
MMFIZF,2021-07,1.833719803731638,-10.469889610684962,-8.882235170289773,-13.73322491944327
MMFIZF,2021-07,1.7871380680624316,-8.034196043380406,-7.38674441637558,-11.938167012954674
MMFIZF,2021-07,1.7128399354630832,-9.624549891359074,-8.225883123166447,-14.234324500989745
MMFIZD,2020-08,1.167592820909144,1.2613721781013705,20.903443102141615,22.03028125298924
MMFIZD,2020-08,1.4115756709213019,1.2870448189914625,24.16462135156503,25.118745610904472
MMFIZD,2020-08,1.2589016772053332,4.374288883912227,25.776313148961616,23.291289284914292
MMFIZD,2020-08,1.2393856075664056,3.3932579583297606,28.6466873545252,24.166856020294457
MMFIZD,2020-09,1.1796216749554365,-2.819295351241992,16.869599779035607,21.642471010166656
MMFIZD,2020-09,1.0706901851214523,-2.030131162472618,13.028788684027173,20.35274073283828
MMFIZD,2020-09,1.2366631877883942,-2.895823396774616,16.06306020245379,19.786813220304186
MMFIZD,2020-10,1.2513263456464245,2.471391994143078,5.908358476959097,17.13252613905305
MMFIZD,2020-10,1.4162644346585473,2.3396169842147225,5.803561911292291,23.08463255585904
MMFIZD,2020-10,1.2630451300581693,3.525640804450137,5.958536617062951,22.418453784957684
MMFIZD,2020-10,1.2617073464560962,3.444164940256216,3.768735156734139,21.075360118876862
