基金代码,信息发布日期,期初份额(份),期末份额(份)
UDMUXS,2020-12-02,,
UDMUXS,2020-12-03,,
UDMUXS,2020-12-04,,
UDMUXS,2020-12-07,,
UDMUXS,2020-12-08,,
UDMUXS,2020-12-09,,
UDMUXS,2020-12-10,,
UDMUXS,2020-12-11,,
UDMUXS,2020-12-14,,
UDMUXS,2020-12-15,,
UDMUXS,2020-12-16,,
UDMUXS,2020-12-17,,
UDMUXS,2020-12-18,,
UDMUXS,2020-12-21,,
UDMUXS,2020-12-22,,
UDMUXS,2020-12-23,,
UDMUXS,2020-12-24,,
UDMUXS,2020-12-25,,
UDMUXS,2020-12-28,,
UDMUXS,2020-12-29,,
UDMUXS,2020-12-30,,
UDMUXS,2020-12-31,,
UDMUXS,2021-01-22,,1016646233.5476824
UDMUXS,2021-01-22,983116122.9359037,1016647084.6513244
UDMUXS,2021-03-31,983113849.3316482,1016644896.5877167
UDMUXS,2021-01-04,,
UDMUXS,2021-01-05,,
UDMUXS,2021-01-06,,
UDMUXS,2021-01-07,,
UDMUXS,2021-01-08,,
UDMUXS,2021-01-11,,
UDMUXS,2021-01-12,,
UDMUXS,2021-01-13,,
UDMUXS,2021-01-14,,
UDMUXS,2021-01-15,,
UDMUXS,2021-01-18,,
UDMUXS,2021-01-19,,
UDMUXS,2021-01-20,,
UDMUXS,2021-01-21,,
UDMUXS,2021-01-22,,
UDMUXS,2021-01-25,,
UDMUXS,2021-01-26,,
UDMUXS,2021-01-27,,
UDMUXS,2021-01-28,,
UDMUXS,2021-01-29,,
UDMUXS,2021-02-01,,
UDMUXS,2021-02-02,,
UDMUXS,2021-02-03,,
UDMUXS,2021-02-04,,
UDMUXS,2021-02-05,,
UDMUXS,2021-02-08,,
UDMUXS,2021-02-09,,
UDMUXS,2021-02-10,,
UDMUXS,2021-02-18,,
UDMUXS,2021-02-19,,
UDMUXS,2021-02-22,,
UDMUXS,2021-02-23,,
UDMUXS,2021-02-24,,
UDMUXS,2021-02-25,,
UDMUXS,2021-02-26,,
UDMUXS,2021-03-01,,
UDMUXS,2021-03-02,,
UDMUXS,2021-03-03,,
UDMUXS,2021-03-04,,
UDMUXS,2021-03-05,,
UDMUXS,2021-03-08,,
UDMUXS,2021-03-09,,
UDMUXS,2021-03-10,,
UDMUXS,2021-03-11,,
UDMUXS,2021-03-12,,
UDMUXS,2021-03-15,,
UDMUXS,2021-03-16,,
UDMUXS,2021-03-17,,
UDMUXS,2021-03-18,,
UDMUXS,2021-03-19,,
UDMUXS,2021-03-22,,
UDMUXS,2021-03-23,,
UDMUXS,2021-03-24,,
UDMUXS,2021-03-25,,
UDMUXS,2021-03-26,,
UDMUXS,2021-03-29,,
UDMUXS,2021-03-30,,
UDMUXS,2021-03-31,,
UDMUXS,2021-04-22,,1083116139.7408125
UDMUXS,2021-04-22,1016645699.5316151,1083113218.1260798
UDMUXS,2021-04-01,,
UDMUXS,2021-04-02,,
UDMUXS,2021-04-06,,
UDMUXS,2021-04-07,,
UDMUXS,2021-04-08,,
UDMUXS,2021-04-09,,
UDMUXS,2021-04-12,,
UDMUXS,2021-04-13,,
UDMUXS,2021-04-14,,
UDMUXS,2021-04-15,,
UDMUXS,2021-04-16,,
UDMUXS,2021-04-19,,
UDMUXS,2021-04-20,,
UDMUXS,2021-04-21,,
UDMUXS,2021-04-22,,
UDMUXS,2021-04-23,,
UDMUXS,2021-04-26,,
UDMUXS,2021-04-27,,
UDMUXS,2021-04-28,,
UDMUXS,2021-04-29,,
UDMUXS,2021-04-30,,
UDMUXS,2021-05-06,,
UDMUXS,2021-05-07,,
UDMUXS,2021-05-10,,
UDMUXS,2021-05-11,,
UDMUXS,2021-05-12,,
UDMUXS,2021-05-13,,
UDMUXS,2021-05-14,,
UDMUXS,2021-05-17,,
UDMUXS,2021-05-18,,
UDMUXS,2021-05-19,,
UDMUXS,2021-05-20,,
UDMUXS,2021-05-21,,
UDMUXS,2021-05-24,,
UDMUXS,2021-05-25,,
UDMUXS,2021-05-26,,
UDMUXS,2021-05-27,,
UDMUXS,2021-05-28,,
UDMUXS,2021-05-31,,
UDMUXS,2021-06-01,,
UDMUXS,2021-06-02,,
UDMUXS,2021-06-03,,
UDMUXS,2021-06-04,,
UDMUXS,2021-06-07,,
UDMUXS,2021-06-08,,
UDMUXS,2021-06-09,,
UDMUXS,2021-06-10,,
UDMUXS,2021-06-11,,
UDMUXS,2021-06-15,,
UDMUXS,2021-06-16,,
UDMUXS,2021-06-17,,
UDMUXS,2021-06-18,,
UDMUXS,2021-06-21,,
UDMUXS,2021-06-22,,
UDMUXS,2021-06-23,,
UDMUXS,2021-06-24,,
UDMUXS,2021-06-25,,
UDMUXS,2021-06-28,,
UDMUXS,2021-06-29,,
UDMUXS,2021-06-30,,
UDMUXS,2021-07-21,,1033102447.9172047
UDMUXS,2021-08-31,1016644053.2339219,1033104717.0910007
UDMUXS,2021-07-21,1083114787.1787074,1033100771.4808422
UDMUXS,2021-07-01,,
UDMUXS,2021-07-02,,
UDMUXS,2021-07-05,,
UDMUXS,2021-07-06,,
UDMUXS,2021-07-07,,
UDMUXS,2021-07-08,,
UDMUXS,2021-07-09,,
UDMUXS,2021-07-12,,
UDMUXS,2021-07-13,,
UDMUXS,2021-07-14,,
UDMUXS,2021-07-15,,
UDMUXS,2021-07-16,,
UDMUXS,2021-07-19,,
UDMUXS,2021-07-20,,
UDMUXS,2021-07-21,,
UDMUXS,2021-07-22,,
UDMUXS,2021-07-23,,
UDMUXS,2021-07-26,,
UDMUXS,2021-07-27,,
UDMUXS,2021-07-28,,
UDMUXS,2021-07-29,,
UDMUXS,2021-07-30,,
UDMUXS,2021-08-02,,
UDMUXS,2021-08-03,,
UDMUXS,2021-08-04,,
UDMUXS,2021-08-05,,
UDMUXS,2021-08-06,,
UDMUXS,2021-08-09,,
UDMUXS,2021-08-10,,
UDMUXS,2021-08-11,,
UDMUXS,2021-08-12,,
UDMUXS,2021-08-13,,
UDMUXS,2021-08-16,,
UDMUXS,2021-08-17,,
UDMUXS,2021-08-18,,
UDMUXS,2021-08-19,,
UDMUXS,2021-08-20,,
UDMUXS,2021-08-23,,
UDMUXS,2021-08-24,,
UDMUXS,2021-08-25,,
UDMUXS,2021-08-26,,
UDMUXS,2021-08-27,,
UDMUXS,2021-08-30,,
UDMUXS,2021-08-31,,
UDMUXS,2021-09-01,,
UDMUXS,2020-08-31,477395217.0933272,583066754.5871906
UDMUXS,2020-08-03,,
UDMUXS,2020-08-04,,
UDMUXS,2020-08-05,,
UDMUXS,2020-08-06,,
UDMUXS,2020-08-07,,
UDMUXS,2020-08-10,,
UDMUXS,2020-08-11,,
UDMUXS,2020-08-12,,
UDMUXS,2020-08-13,,
UDMUXS,2020-08-14,,
UDMUXS,2020-08-17,,
UDMUXS,2020-08-18,,
UDMUXS,2020-08-19,,
UDMUXS,2020-08-20,,
UDMUXS,2020-08-21,,
UDMUXS,2020-08-24,,
UDMUXS,2020-08-25,,
UDMUXS,2020-08-26,,
UDMUXS,2020-08-27,,
UDMUXS,2020-08-28,,
UDMUXS,2020-08-31,,
UDMUXS,2020-09-01,,
UDMUXS,2020-09-02,,
UDMUXS,2020-09-03,,
UDMUXS,2020-09-04,,
