基金代码,degree,betweenness,closeness,eigenvector
MMAFUF,0.6866995073891625,0.00018357003292185042,0.7614403600900225,0.027871623988254313
MMADII,0.24532019704433497,1.665894308317611e-05,0.5699045480067377,0.009760104908264193
MMASMP,0.8975369458128079,0.00035798157579733706,0.9070598748882931,0.03612799308903556
MMASUX,0.8354679802955665,0.00022499474224721883,0.8587140439932318,0.03421736157325884
MMAAFM,0.47487684729064034,7.857249491455032e-05,0.6556847545219638,0.01915139058386213
MMZMUS,0.5911330049261083,5.4410485224486285e-05,0.7097902097902098,0.024973261819816742
MMZMDX,0.6571428571428571,0.0002359542937844186,0.7446808510638298,0.02605572323939193
MMZMAD,0.8453201970443349,0.00027298663107863696,0.8660409556313993,0.034299074179651556
MMZMZA,0.49950738916256154,9.559761857280357e-05,0.6664478003939593,0.020065648287973612
MMZUUZ,0.8108374384236453,0.00020888450660627275,0.8409279204639603,0.033254063347755256
MMZUDX,0.6955665024630542,0.00010865464880984838,0.7666163141993958,0.02895553678568421
MMZUZZ,0.7280788177339901,0.0003074361999053746,0.7862122385747483,0.028841338572562616
MMZXXI,0.7763546798029556,0.0001966798937992232,0.8172302737520128,0.03177517636962464
MMZXIP,0.754679802955665,0.00016292828220015792,0.803006329113924,0.031111871243007086
MMZXDF,0.6857142857142856,9.866121176335517e-05,0.7608695652173914,0.028721300100894052
MMZFMS,0.81871921182266,0.0001929431693363763,0.8465387823185988,0.03372818252099857
MMZSZF,0.7743842364532019,0.00019789089272984135,0.8159163987138264,0.031708515442347734
MFMMUA,0.825615763546798,0.00027272319234040407,0.8515100671140939,0.033468005351342284
MSMMMU,0.7014778325123152,0.00011262486332843198,0.7701062215477997,0.02929252609771643
MSMMIX,0.8009852216748767,0.00020419646992583186,0.8340180772391126,0.032887740630045466
MZMMMP,0.825615763546798,0.00028584774368217556,0.8515100671140939,0.033473182644850656
MZMMUA,0.6078817733990147,0.0002078913854169565,0.7183297947629158,0.024055883756786616
MZMMXM,0.5753694581280788,6.0530536041601215e-05,0.7019363762102351,0.024110571872868428
UUMMMI,0.8758620689655172,0.0003119588302281499,0.8895705521472392,0.03545316713099866
UUMMXX,0.6581280788177339,6.793708667837751e-05,0.7452276064610867,0.027916350895867713
UUMMXI,0.6266009852216748,8.899991638441808e-05,0.7281205164992827,0.026266014589430023
UDMXXX,0.6374384236453201,0.00010373779685450018,0.7339117859725235,0.026673424552288463
UDMDXS,0.7566502463054187,0.00016506225026430394,0.8042789223454834,0.031170808330273064
UDMDPF,0.8778325123152708,0.0003302093401218497,0.8911325724319579,0.03532796563411426
UDMZUM,0.6926108374384236,0.00013168718885207988,0.7648831951770911,0.02865525767378173
UDUMIX,0.23546798029556648,3.553968118870519e-05,0.5667225013958682,0.008968054944859723
UDUMID,0.49064039408866994,5.604734410537536e-05,0.662532637075718,0.020490086732723203
UDUUXX,0.5142857142857142,3.687083811378135e-05,0.6730769230769231,0.021770881238246758
UDUUIX,0.7359605911330048,0.00017448265935329546,0.7911145752143414,0.03024147149069733
UDUDUD,0.5970443349753695,4.57381924676922e-05,0.7127808988764045,0.0253062109729823
UDUAUA,0.8591133004926108,0.0002781602338080689,0.8765112262521589,0.03484791529375186
UDUZMI,0.49162561576354674,6.707727884050121e-05,0.6629653821032006,0.020171410382132826
UDXDMF,0.7300492610837438,9.926887449416689e-05,0.7874321179208689,0.03067618176456465
UDIMMU,0.6246305418719211,8.357521054847567e-05,0.7270773638968482,0.026169422293826853
UDPXMF,0.7448275862068965,0.00014668692164382813,0.7967032967032966,0.030946067596266672
UDFFUZ,0.5773399014778324,9.07321834977951e-05,0.7029085872576177,0.024032725395555975
UDSFMA,0.7280788177339901,0.00019905682213570795,0.7862122385747483,0.029828062795209595
UDAUMX,0.6049261083743842,0.00016156028488725085,0.7168079096045198,0.024339422664233997
UDAXMP,0.2778325123152709,5.104737442280564e-05,0.5806636155606407,0.01063642468146396
UDZUMF,0.8039408866995074,0.00022215842176098182,0.8360790774299836,0.033004822220460556
UAMMUX,0.7339901477832512,0.00014152143633741748,0.7898832684824902,0.030434929142146145
XMMMMA,0.7763546798029556,0.0001387915563205089,0.8172302737520128,0.03232793893548648
XIIMMS,0.6916256157635468,8.833363376863547e-05,0.7643072289156626,0.02909440648056303
XIIMMA,0.7389162561576355,0.0001395843035381986,0.79296875,0.030726095609098288
XPMMMA,0.7566502463054187,0.0002010925980691214,0.8042789223454834,0.031029174661446654
XDMUMA,0.741871921182266,0.00010449959102115497,0.7948316366483946,0.031159768395936125
XDMUMZ,0.7211822660098521,9.178813927535805e-05,0.7819722650231125,0.030365177243250996
XSMMPU,0.747783251231527,0.00012069369652536576,0.7985837922895358,0.031238483216880473
IXMMMS,0.3251231527093596,1.906019052374176e-05,0.5970588235294118,0.013406068280732274
IZZMUU,0.6137931034482759,6.736657629710878e-05,0.7213930348258707,0.025801156814724568
PXMMMI,0.7536945812807881,0.0001213118944640723,0.8023715415019763,0.03150097134955433
PSMMMD,0.638423645320197,7.78492686471475e-05,0.7344428364688856,0.026786711557090573
FMUMUF,0.8019704433497536,0.00021825236653185995,0.834703947368421,0.032763189942811376
FMUMIX,0.8078817733990147,0.0002551600159547753,0.8388429752066116,0.032834567475147076
FMUMPD,0.7113300492610837,0.00024596747561069453,0.7759938837920489,0.028555403082945987
FMUMPZ,0.8394088669950738,0.00024024181659641617,0.8616298811544991,0.034207378882000844
FMUMFM,0.8561576354679802,0.00025111190373300915,0.8742463393626184,0.03487700129867453
FMUMDD,0.8059113300492611,0.0002291843344546351,0.8374587458745875,0.032750485317014355
FMXMXM,0.8679802955665024,0.00027460398243090475,0.8833768494342907,0.03526374729409223
FMXMPM,0.8699507389162561,0.0003629735330437669,0.8849171752397559,0.03495201201017502
FMXMPA,0.8354679802955665,0.0002387658724098067,0.8587140439932318,0.03409287436353827
MMPAMF,0.838423645320197,0.00024239049041938418,0.8608990670059372,0.03419940951048674
MMPAPM,0.851231527093596,0.00034232975812508506,0.8704974271012007,0.034278954092593746
MMPAFU,0.6275862068965516,7.038270289609665e-05,0.7286432160804021,0.02640325984262451
MMPADA,0.7280788177339901,0.00012515377666032305,0.7862122385747483,0.030251720995367343
MMPZPX,0.7517241379310344,0.00016293532878526484,0.8011049723756906,0.030894706438684028
MMPZAS,0.7379310344827585,0.00010671797594695693,0.7923497267759563,0.030930177814990766
MMFMMP,0.7280788177339901,0.00012515377666032305,0.7862122385747483,0.030251720995367343
MMFMMF,0.8827586206896552,0.000427859062657371,0.8950617283950617,0.035199015367677236
MMFMXZ,0.8453201970443349,0.00025688135529933876,0.8660409556313993,0.03442651693352693
MMFUMD,0.5960591133004925,6.0036524834126285e-05,0.712280701754386,0.025365581713307463
MMFUUX,0.6482758620689655,0.00017340831419104206,0.7397959183673469,0.02640197834664454
MMFUSD,0.6354679802955665,7.991894072181806e-05,0.7328519855595668,0.02664723654669081
MMFXXA,0.5753694581280788,4.568915676315441e-05,0.7019363762102351,0.024366757827644202
MMFXII,0.2669950738916256,3.3058184488190954e-05,0.5770324047754406,0.010196072998228027
MMFXIF,0.5596059113300492,2.1034533158836974e-05,0.6942544459644323,0.02418427651585077
MMFXDP,0.8689655172413793,0.00028408887867890714,0.8841463414634146,0.035296540149901606
MMFXZI,0.7379310344827585,0.00011227087213169807,0.7923497267759563,0.030870311895253515
MMFIMI,0.6857142857142856,0.00013957568612661848,0.7608695652173914,0.028250527906928415
MMFIUU,0.3615763546798029,2.834525482457375e-05,0.6103427540589297,0.014800532459798768
MMFIZD,0.8817733990147782,0.0003619019475383423,0.8942731277533039,0.035439028917151186
MMFPFI,0.7300492610837438,0.00014630292332293524,0.7874321179208689,0.030154900114325246
MMFFXM,0.7152709359605911,0.00014764600572671254,0.7783742331288344,0.02950399666355331
